UTS,YS,EL,EL_Si,EL_Mg,EL_Sc,EL_Al
201.11841,112.90494,6.7892575,6.53,0,0.5789504,92.8910496
201.04892,112.814804,6.7927613,6.54,0,0.5799477,92.8800523
200.97943,112.7247,6.79626,6.55,0,0.58094513,92.86905487
200.9107,112.63524,6.799696,6.56,0,0.5819423,92.8580577
200.84148,112.545334,6.8031735,6.57,0,0.58293974,92.84706026
200.77225,112.45543,6.8066506,6.58,0,0.58393705,92.83606295
200.70302,112.36553,6.810132,6.59,0,0.58493435,92.82506565
200.63428,112.27606,6.8135614,6.6,0,0.5859318,92.8140682
200.565,112.18614,6.8170424,6.61,0,0.58692896,92.80307104
200.49629,112.09667,6.8204784,6.62,0,0.58792627,92.79207373
200.4266,112.00636,6.8240027,6.63,0,0.5889237,92.7810763
200.35785,111.91689,6.827436,6.64,0,0.5899211,92.7700789
200.28838,111.826775,6.8309383,6.65,0,0.5909184,92.7590816
200.21964,111.7373,6.8343716,6.66,0,0.5919157,92.7480843
200.1504,111.6474,6.837849,6.67,0,0.59291303,92.73708697
200.08139,111.55769,6.841301,6.68,0,0.59391034,92.72608966
200.01219,111.46782,6.844783,6.69,0,0.59490764,92.71509236
199.9432,111.37813,6.848237,6.7,0,0.59590495,92.70409505
199.87369,111.28799,6.8517365,6.71,0,0.5969024,92.6930976
199.805,111.19853,6.8551726,6.72,0,0.5978997,92.6821003
199.73552,111.10843,6.858674,6.73,0,0.5988971,92.6711029
199.66678,111.01894,6.862109,6.74,0,0.5998944,92.6601056
199.59781,110.92926,6.865566,6.75,0,0.6008917,92.6491083
199.52853,110.83934,6.8690376,6.76,0,0.60188913,92.63811087
199.45888,110.74907,6.872568,6.77,0,0.60288656,92.62711344
199.38963,110.65915,6.876043,6.78,0,0.603884,92.616116
199.32089,110.56967,6.879478,6.79,0,0.60488117,92.60511883
199.25171,110.4798,6.8829584,6.8,0,0.6058785,92.5941215
199.18268,110.390076,6.8864174,6.81,0,0.6068759,92.5831241
199.11394,110.30061,6.8898478,6.82,0,0.6078731,92.5721269
199.04422,110.2103,6.8933754,6.83,0,0.6088705,92.5611295
198.97525,110.120605,6.896826,6.84,0,0.6098678,92.5501322
198.90652,110.03116,6.90026,6.85,0,0.6108651,92.5391349
198.83727,109.94122,6.903742,6.86,0,0.61186254,92.52813746
198.76784,109.85116,6.907243,6.87,0,0.61285985,92.51714015
198.69858,109.76123,6.910721,6.88,0,0.61385727,92.50614273
198.6298,109.67173,6.914157,6.89,0,0.6148546,92.4951454
198.5604,109.581665,6.917658,6.9,0,0.6158519,92.4841481
198.49138,109.49195,6.921114,6.91,0,0.6168492,92.4731508
198.42194,109.40186,6.924615,6.92,0,0.6178465,92.4621535
198.35294,109.31218,6.928067,6.93,0,0.6188439,92.4511561
198.28369,109.22226,6.931546,6.94,0,0.61984134,92.44015866
198.21521,109.13301,6.9349585,6.95,0,0.6208384,92.4291616
198.14574,109.04289,6.9384575,6.96,0,0.62183595,92.41816405
198.07628,108.95281,6.9419613,6.97,0,0.62283325,92.40716675
198.00703,108.862885,6.9454374,6.98,0,0.6238307,92.3961693
197.93854,108.77362,6.948848,6.99,0,0.62482786,92.38517214
197.8691,108.68353,6.9523554,7,0,0.6258253,92.3741747
197.7999,108.59364,6.9558306,7.01,0,0.6268227,92.3631773
197.7306,108.503716,6.9593115,7.02,0,0.62782,92.35218
197.66167,108.41406,6.9627657,7.03,0,0.62881744,92.34118256
197.59244,108.32415,6.9662476,7.04,0,0.62981474,92.33018526
197.52345,108.23447,6.9697037,7.05,0,0.63081205,92.31918795
197.4542,108.14455,6.9731817,7.06,0,0.63180935,92.30819065
197.38542,108.05505,6.97661,7.07,0,0.63280654,92.29719346
197.31601,107.96497,6.980114,7.08,0,0.63380396,92.28619604
197.24701,107.875305,6.983569,7.09,0,0.6348014,92.2751986
197.1778,107.78541,6.987047,7.1,0,0.6357986,92.2642014
197.10928,107.696106,6.9904566,7.11,0,0.6367959,92.2532041
197.03929,107.60557,6.99401,7.12,0,0.6377934,92.2422066
196.97083,107.51633,6.9974194,7.13,0,0.6387907,92.2312093
196.90161,107.42644,7.000901,7.14,0,0.63978803,92.22021197
196.83266,107.33678,7.0043535,7.15,0,0.64078534,92.20921466
196.76291,107.24644,7.0078783,7.16,0,0.64178276,92.19821724
196.69412,107.156906,7.0113144,7.17,0,0.64278007,92.18721993
196.62497,107.06706,7.0147886,7.18,0,0.6437774,92.1762226
196.55594,106.977356,7.0182457,7.19,0,0.6447748,92.1652252
196.48622,106.887024,7.0217714,7.2,0,0.6457721,92.1542279
196.41727,106.79736,7.0252266,7.21,0,0.6467695,92.1432305
196.3573,106.7144,7.0280876,7.22,0,0.6477668,92.1322332
196.35028,106.67099,7.02746,7.23,0,0.64876413,92.12123587
196.34216,106.62662,7.0269356,7.24,0,0.64976156,92.11023844
196.33508,106.58316,7.026308,7.25,0,0.65075874,92.09924126
196.32736,106.539154,7.0257397,7.26,0,0.65175605,92.08824395
196.32034,106.49574,7.0251093,7.27,0,0.6527535,92.0772465
196.31305,106.45209,7.0245056,7.28,0,0.6537509,92.0662491
196.30574,106.40845,7.023896,7.29,0,0.65474796,92.05525204
196.29851,106.36486,7.023286,7.3,0,0.6557454,92.0442546
196.29062,106.32068,7.0227423,7.31,0,0.6567428,92.0332572
196.28333,106.27702,7.0221386,7.32,0,0.6577401,92.0222599
196.2765,106.233795,7.0214863,7.33,0,0.6587374,92.0112626
